// 絵文字としてのヒッタイト文字辞書草案
// ■ユニコード絵文字の代用としてのヒッタイト文字とその意味にあたる日本語との対照辞書です。

1	𔖭
10	𔗁
100	𔗃
1000	𔗄
12	𔘍
2	𔖳
2	𔖴
3	𔖸
4	𔖻
5	𔖼
8	𔖽
9	𔖿
あーむ	𔐡
あし	𔑛
あし	𔑝
あし	𔑣
あし	𔑦
あたま	𔐉
あにまる	𔗈
いう	𔐖
いえ	𔔙
いかずち	𔓣
いかずち	𔓳
いす	𔕐
いなご	𔒑
いなずま	𔓣
いなずま	𔓳
いぬ	𔑬
いぬ	𔑭
いのしし	𔙃
いんふら	𔐿
うお	𔒥
うさぎ	𔒋
うさぎ	𔒌
うし	𔑺
うし	𔑼
うで	𔐡
うま	𔑮
えいゆう	𔐕
おう	𔐑
おうい	𔕍
おうこく	𔔆
おうさま	𔐑
おうざ	𔕊
おうざ	𔕍
おうざ	𔕏
おうし	𔑼
おじか	𔑳
おじか	𔑴
おの	𔔼
おひつじ	𔒄
おんな	𔑘
かしら	𔐉
かみ	𔖖
かみさま	𔖖
かみなり	𔓣
かみなり	𔓳
かみのいえ	𔔛
かみのざ	𔕍
かんがん	𔘑
がっぺい	𔐠
きゃんぷ	𔔉
ぎょくざ	𔕊
ぎょくざ	𔕍
ぎょくざ	𔕏
ぎょしゃ	𔕄
ぎょしゃ	𔕅
きんぐ	𔐑
くぎり	𔖵
くろす	𔕛
くろす	𔕜
くんしゅ	𔙁
けつごう	𔐠
けもの	𔑪
げんこつ	𔐨
げんご	𔓊
げんご	𔙅
げんしゅ	𔙁
こうさ	𔕜
こうし	𔒃
こうてい	𔙁
こおろぎ	𔒑
こじし	𔑫
ことば	𔓊
ことば	𔙅
こぶし	𔐨
ごっど	𔖖
ごひょう	𔗎
ごひょう	𔗏
さいだん	𔕊
さかな	𔒥
さぶ	𔐿
さいだん	𔕋
ざせき	𔕐
しーと	𔕐
しか	𔑳
しか	𔑴
しか	𔑵
しし	𔑪
しし	𔑫
した	𔓊
しゃりん	𔕈
しゅじん	𔐏
じぶん	𔐀
じぶん	𔐁
じめん	𔓤
じゅうきょ	𔔙
じゅうじ	𔕛
じゅうじか	𔕛
じょせい	𔑘
じんえい	𔔉
じんち	𔔉
すーぱー	𔑏
すふぃんくす	𔒒
せんしゃ	𔕃
たいよう	𔓙
たいよう	𔓚
だいおう	𔐒
だいち	𔓤
だんけつ	𔐠
ちきゅう	𔓤
ちじょう	𔓤
ちゃりおっと	𔕃
つき	𔓜
つくえ	𔕊
つくえ	𔕋
つち	𔓤
つの	𔑵
つの	𔒂
つばさ	𔑗
つる	𔒻
つるくさ	𔒻
て	𔑁
て	𔑂
てーぶる	𔕊
てーぶる	𔕋
てーぶるさん	𔕍
でんこう	𔓣
でんこう	𔓳
ところ	𔓤
とし	𔔂
とり	𔒚
とり	𔒜
とり	𔒝
とり	𔒞
とり	𔒟
とり	𔒡
どうぶつ	𔗈
どうぶつ	𔒍
どうぶつ	𔒎
どうぶつ	𔒏
なめる	𔒈
ぬし	𔐏
ぬし	𔐐
はうす	𔔙
はなす	𔐖
はね	𔑗
はは	𔑘
はんしん	𔐕
はんしんはんじん	𔐕
はんど	𔑁
はんど	𔑂
ばしょ	𔓤
ばった	𔒑
ぱん	𔓐
ひ	𔘔
ひーろー	𔐕
ひつじ	𔒄
ひつじ	𔒅
ひつじ	𔒆
ひつじ	𔒇
ひょうごもじ	𔗎
ひょうごもじ	𔗏
ふぃっしゅ	𔒥
ふくろう	𔒛
ふっと	𔑣
ふっと	𔑦
ぶどう	𔒻
へっど	𔐉
ほーむ	𔔙
ほいーる	𔕈
ほのお	𔘔
ぼす	𔑻
まいなす	𔖮
まご	𔕒
まち	𔔂
めうし	𔑺
もうじゅう	𔑪
もくざい	𔖰
やえい	𔔉
やぎ	𔑶
やぎ	𔑸
やぎ	𔑹
やま	𔓬
ゆうしゃ	𔐕
ゆうし	𔐕
ゆうじゃ	𔐕
よげん	𔙀
よげんしゃ	𔙀
らいおん	𔑪
らいおん	𔑫
らいめい	𔓣
らいめい	𔓳
らむ	𔒄
りく	𔓤
りくち	𔓤
りょうあし	𔑨
りょうあし	𔑩
れお	𔑪
れお	𔑫
れっぐ	𔑛
れっぐ	𔑝
ろごぐらむ	𔗎
ろごぐらむ	𔗏
ろば	𔑯
ろば	𔑱
ろば	𔑲
わ	𔕈
わたくし	𔐀
わたくし	𔐁
わたし	𔐀
わたし	𔐁
わし	𔒟
